AMBARINO
17. Em Grizzlies do Oeste, ao nordeste da Lagoa Cattail e ao oeste de Clawson’s Rest (a cabana ao oeste do trilho de trem, na altura da palavra “Dakota” acima de Valentine).



18. Em Grizzlies do Oeste, praticamente no meio do caminho entre Clawson’s Rest e Chez Porter, diretamente ao sul da letra “B” da palavra Ambarino no mapa do jogo. Procure no lado leste da estrada.



19. Em Grizzlies do Leste, ao leste da Fonte Cotorra, cruzando a estrada antes da bifurcação. Procure ao norte do segundo círculo do trilho do trem.



20. Em Grizzlies do Leste, ao oeste d’O Bastião -- a construção que fica no canto nordeste de Ambarino, não muito distante da divisa com Nova Hanover. Os Apanhadores de Sonhos ficam em uma árvore com galhos secos.
