 talismã,Custo,Recursos necessários,OK,Efeito,OK
Amuleto de dente de castor,"$ 18,25",1x dente de castor lendário,ok,Retarda permanentemente a degradação de todas as armas em 10%,ok
Amuleto de Cervo,$ 22,1x Cervo lendário ,ok,O jogador recebe partes de animais com pele de melhor qualidade,ok
Amuleto de Presa de Suçuaruna,"$ 20,5",1x Legendary Cougar Fang,,Aumenta permanentemente o bônus de experiência de resistência do jogador em 10%,
Amuleto de  Presa de Coiote,"$ 21,25",1x Legendary Coyote Fang,,Aumenta permanentemente o bônus de experiência de Dead Eye do jogador em 10%,
Trinket Elk Antler,"$ 22,75",1x lendário Elk Antler,,Aumenta permanentemente o valor do dinheiro roubado do jogador em 10%,
Amuleto garra de raposa,"$ 23,5",1x Legendary Fox Claw,,Aumenta permanentemente o tempo que o Eagle Eye pode permanecer ativo em 5 segundos,
Amuleto de Pata de Leão,"$ 19,75",1x pata de leão,,Aumenta permanentemente o bônus de experiência de resistência do jogador em 10%,
Amuleto de Galha de Alce,$ 19,1x lendário chifre de alce,ok,Aumenta permanentemente o bônus de experiência de saúde do jogador em 10%,ok
Amuleto Panther's Eye,$ 25,1x olho de pantera lendário,,Aumenta permanentemente a velocidade de drenagem da barra Dead Eye em 10% por 3 segundos,
Amuleto de chifre de pronghorn,"$ 24,5",1x Chifre Pronghorn lendário,,Impede que os animafls a cavalo estraguem,
Amuleto de chifre de carneiro,"$ 17,5",1x lendário chifre de carneiro,,"Colher tomilho rasteiro, orégano e hortelã selvagem rende 2x mais ervas",
Amuleto Coração de Lobo,$ 16,1x Coração de Lobo Lendário,,O jogador pode consumir 2x mais álcool antes de sentir os efeitos negativos de estar bêbado,
Amuleto chifre de Bisão,"$ 16,75",1x Chifre de Bisonte Tatanka Lendário,,Diminui permanentemente a quantidade de dano corpo a corpo recebido em 10%,ok
Amuleto Escala De Iguana,N / D,Proprietários da edição especial / final apenas,,Reduz o dano a cavalo em 10%,
Talismã de dente de crocodilo,$ 40,1x Algemas da Guerra Civil Vintage (por encontrar um conjunto de Cartas de Cigarro,,Diminui permanentemente a velocidade de drenagem do núcleo do Dead Eye em 10%,
,,1x Pulseira com junta de ouro,,,
,,1x Dente de Jacaré Lendário,,,
Talismã Garra de Urso,"$ 34,75",1x pulseira de corrente de prata,,Diminui permanentemente a velocidade de drenagem do núcleo de saúde em 10%,
,,1x pedaço de quartzo (de locais de osso de dinossauro),,,
,,1x garra de urso lendária,,,
Talismã presa de javali,$ 31,1x Brinco de Ouro 1x Cobolt Madeira Petrificada,,Diminui permanentemente a velocidade que os núcleos de saúde e resistência do cavalo drenam em 10%,
,,1x Presa de Javali Lendária,,,
Talismã de Bisão,"$ 38,5",1x Fragmento de Carapaça de Abalone,,Diminui permanentemente a velocidade que o núcleo de resistência drena em 10%,
,,1x Brinco de Prata,,,
,,1x Chifre de Bisonte Lendário,,,
Raven Claw Talismman,$ 29,1x Old Brass Compass (de locais de escultura em pedra),,Retarda permanentemente a degradação de todas as armas em 20%,
Eagle Eye Talisman,N / D,Proprietários da edição especial / final apenas,,Aumenta a duração do Eagle Eye em cinco segundos,
