CONJUNTOS DE VESTIMENTAS,,,,,Equipamento Reforçado,,,,,Animais,Qnt,Status,Observação
,,,,,,,,,,,,,
ok,Caçador de Urso,,Status,,,,,,,Alce,4,3,
,Chapéu Cabeça de Urso Lendario,Urso lendario,ok,,,,,,,Alce Lendario,1,ok,
,Casaco Urso Lendario,Urso lendario,ok,,,,,,,Antilocapra,3,1,
,,Bisão,ok,,,,,,,Antilocapra Lendario,1,ok,
,Roper Urso Lendario,Urso lendario,ok,,,,,,,Bisão,3,ok,
,,Touro,ok,,,,,,,Bisão Lendario,1,ok,
,Luvas de Equitação Javali,Javali,ok,,,,,,,Boi,3,ok,
,,Coelho,ok,,,,,,, Carneiro ,1,ok,
ok,Pompa de Cervo,,,,,,,,, Castor,1,ok,
,Chapéu Montanha Guaxinim,Guaxinim,ok,,,,,,,Cabra,7,ok,
,, Castor,ok,,,,,,,Caititu,4,,
,,Pena de Gavião,,,,,,,,Caneiro,1,ok,
,Colete Lendario,Pele de Cervo Lendario,ok,,,,,,,Carneiro,4,ok,
,, Carneiro ,ok,,,,,,,Carneiro Lendario,1,ok,
,Mocassins Raposa Lendaria,Pele de Raposa Lendaria,ok,,,,,,,Castor,8,ok,
,,Uapiti,ok,,,,,,,Castor lendairio,1,ok,
,Luvas Campo Cervo Lendario,Pele de Cervo Lendario,ok,,,,,,,Cervo (Cariacu),4,ok,
,,Pele de Raposa Lendaria,ok,,,,,,,Cobra,13,ok,
,Apanhador de Sonhos,,,,,,,,,Coelho,6,ok,
,Chapéu mole castor lendario,Castor lendairio,ok,,,,,,,Coiote,3,ok,
,,Javali Lendario,ok,,,,,,,Coiote Lendario,1,ok,
,,Pena Cardial ,,,,,,,,Esquilo,6,ok,
,Colete Bisão Lendario,Takanta Lendario,,,,,,,,Gamba,3,ok,
,Asas de Morceço Bisão Lendario,takanta Lendario,,,,,,,,Gamba Sarue,4,ok,
,Fowler Javali e Bisão Lensarios,Javali Lendario,,,,,,,,Guaxinim,1,ok,
,,Takanta Lendario,,,,,,,,Iguana,3,ok,
,Luvas Cavalaria Castor Lendario,Castor lendairio,ok,,,,,,,Jacaré,1,ok,
,Fera Caçadora,,,,,,,,,Jacare Lendario,1,,Aguardar Capitulo Lagras
,Chapéu Mole Suçuaruna Lendaria,Suçuaruna Lendaria,,,,,,,,javali,9,ok,
,,Penas de Peru,ok,,,,,,,Javali Lendario,1,,
,,Penas de Peru,ok,,,,,,,Lobo,3,ok,
,Colete Lobo e Suçuaruna Lendarios,Suçuaruna Lendaria,,,,,,,,Lobo Lendario,1,ok,
,,Lobo Lendario,ok,,,,,,,Monstro de Gila,2,,
,Asas de Morcego Lobo Lendario,Lobo Lendario,ok,,,,,,,Ovelha,8,ok,
,,Cabra,ok,,,,,,,Pantera,3,ok,
,Fowler Touro,Javali,ok,,,,,,,Pantera Lendaria,1,,Aguardar Capitulo
,,Touro,ok,,,,,,,Pele de Bisão,0,ok,
,Luvas Equitação Suçuaruna Lndarias ,Suçuaruna Lendaria,,,,,,,,Pele de Cervo Lendario,1,ok,
