Pearson Crafting,,,
,,,
Satchel,,,
Tonics,1 x Perfect Deer,1 x Perfect Buck,1 x Perfect Elk
Ingredients,1 x Perfect Deer,1 x Perfect Badger,1 x Perfect Squirrel
Kit,1 x Perfect Deer,1 x Perfect Elk,1 x Perfect Panther
Provisions,1 x Perfect Deer,1 x Perfect Bison,1 x Perfect Raccoon
Materials,1 x Perfect Deer,1 x Perfect Boar,1 x Perfect Iguana
Valuables,1 x Perfect Deer,1 x Perfect Beaver,1 x Perfect Rabbit
Legend of the East,1 x Perfect Deer,1 x Perfect Cougar,1 x Perfect Wolf
,,,
Arthur's Lodging,,,
Alligator Skull,1 x Perfect Alligator Skin,,
Big Horn Ram Skull,1 x Perfect Ram Carcass,,
Cougar Pelt Covered Chest,2 x Perfect Cougar Pelt,,
Boar Skin Table Cover,1 x Perfect Boar Pelt,,
Ox Hide Rug,2 x Perfect Ox Hide,,
,,,
John's Lodging,,,
Boar Skin Rug,4 x Perfect Boar Pelt,,
,,,
Camp Tables,,,
Pronghorn Leather Table Tops,2 x Perfect Pronghorn Hide,,
,,,
Chuck Wagon,,,
Pronghorn Skull,1 x Perfect Pronghorn Carcass,,
,,,
Main Camp,,,
Moose Antlers,1 x Moose Antler,,
Wolf Skull,1 x Perfect Wolf Carcass,,
Snake Skin Banjo Head,2 x Perfect Snake Skin,,
Campfire Seat Cover,1 x Perfect Beaver Pelt,1 x Perfect Muskrat Pelt,1 x Perfect Fox Pelt
Campfire Log Seat Cover,2 x Perfect Wolf Pelt,,
Lean-to Hide Ground Cover,1 x Perfect Cow Hide,,
,,,
Scout Camp,,,
Scout Fire Ground Cover,2 x Perfect Goat Hide,,
Elk Antlers,1 x Elk Antler,,
Hanging Bones,1 x Buck Antlers,,
