Talismans,
,
Alligator Tooth Talisman,Decreases Dead Eye Core Drain by 10%
1 x Vintage Civil War Handcuffs,
1 x Gold Jointed Bracelet,
1 x Legendary Alligator Tooth,
,
Bear Claw Talisman,Decreases Health Core Drain by 10%
1 x Silver Chain Bracelet,
1 x Quartz Chunk,
1 x Legendary Bear Claw,
,
Boar Tusk Talisman,Decreases Horse Health & Stamina Drain by 10 %
1 x Gold Earring,
1 x Cobalt Petrified Wood,
1 x Legendary Boar Tusk,
,
Bison Horn Talisman,Decreases Stamina Core Drain by 10%
1 x Abalone Shell Fragment,
1 x Silver Earring,
1 x Legendary Bison Horn,
,
Raven Claw Talisman,Slows All Weapon Degradation by 20%
1 x Old Brass Compass,
