Checklist,,,,,,,,
,,,,,,,,
Pearson: Satchel & Camp Upgrades,,,,,,,,
"Animal Pelt,",Quantity,Quantity,"Animal Pelt,",Quantity,Quantity,,Quantity,
"Hide, or Skin",Needed,Acquired,"Hide, or Skin",Needed,Acquired,Odd Inventory,Acquired,
Alligator,1,,Goat,2,,Pronghorn Carcass (1x),,
Badger,1,,Iguana,1,,Ram Carcass (1x),,
Beaver,2,,Muskrat,1,,Wolf Carcass (1x),,
Bison ,1,,Ox,2,,Buck Antler (1x),,
Boar,6,,Panther,1,,Elk Antler (1x),,
Buck,1,,Pronghorn,2,,Moose Antler (1x),,
Cougar,3,,Rabbit,1,,,,
Cow,1,,Raccoon,1,,,,
Deer,7,,Snake,2,,,,
Elk,2,,Squirrel,1,,,,
Fox,1,,Wolf,3,,,,
,,,,,,,,
"Trapper: Garment Sets, Clothing, & Saddles",,,,,,,,
"Animal Pelt,",Quantity,Quantity,"Animal Pelt,",Quantity,Quantity,,Quantity,Quantity
"Hide, or Skin",Needed,Acquired,"Hide, or Skin",Needed,Acquired,Feathers,Needed,Acquired
Alligator,1,,Goat,6,,Blue Jay,3,
Armadillo,2,,Iguana,3,,Cardinal,2,
Badger,2,,Moose,4,,Cedar Waxwing,2,
Bear,2,,Muskrat,7,,Chicken,4,
Beaver,9,,Opossum,4,,Condor,1,
Bison ,2,,Ox,3,,Crow,2,
Black Bear,3,,Panther,3,,Duck,3,
Boar,10,,Pig,1,,Eagle,4,
Buck,4,,Pronghorn,4,,Goose,2,
Bull,3,,Rabbit,7,,Hawk,2,
Collared Pec. Pig,4,,Ram,6,,Loon,2,
Cougar,4,,Rat,16,,Oriole,5,
Cow,3,,Raccoon,1,,Owl,1,
Coyote,3,,Sheep,8,,Pheasant,2,
Deer,5,,Skunk,3,,Pigeon,2,
Elk,5,,Snake,15,,Quail,2,
Fox,2,,Squirrel,6,,Raven,13,
Gila Monster,2,,Wolf,3,,Robin,7,
,,,,,,Rooster,4,
,,,,,,Seagull,1,
,,,,,,Songbird,2,
,,,,,,Sparrow,4,
,,,,,,Turkey,4,
,,,,,,Vulture,1,
,,,,,,Woodpecker,4,
