Trapper Clothing,,,
,,,
Hats,,,
Badger Moutain Hat,1x Perfect Badger Pelt,,
Beaver Mountain Hat,1x Perfect Beaver Pelt,,
Fox Mountain Hat,1x Perfect Fox Pelt,,
Skunk Mountain Hat,1x Perfect Skunk Pelt,,
Bear Grenadier Hat,1x Perfect Black Bear Pelt,,
Squirrel Flat Cap,6x Perfect Squirrel Pelt,,
Rat Flat Cap,10x Perfect Rat Pelt,,
Snake Bulldogger Hat,1x Perfect Sheep Skin,1x Perfect Snake Skin,
Iguana Big Valley Hat,1x Perfect Cow Hide,1x Perfect Iguana Skin,
Gila Monster Gambler's Hat,1x Perfect Elk Pelt,1x Perfect Gila Monster Skin,
Pronghorn Flop Hat,1x Perfect Pronghorn Hide,4x Perfect Opossum Pelt,
Deer Cavalry Hat,1x Perfect Deer Pelt,10x Raven Feather,
Bison Gambler's Hat,1x Perfect Bison Pelt,4x Robin Feather,4x Oriole Feather
Rat Infantry Hardee Hat,1x Perfect Goat Hide,6x Perfect Rat Pelt,
Stalker Accessory,2x Loon Feather,1x Condor Feather,3x Raven Feather
Scavenger Accessory,1x Vulture Feather,1x Seagull Feather,
Native Accessory,1x Pheasant Feather,4x Sparrow Feather,3x Robin Feather
Pilgrim Accessory,1x Turkey Feather,2x Cedar Waxwing Feather,3x Blue Jay Feather
Huntsman Accessory,1x Perfect Boar Pelt,1x Hawk Feather,2x Quail Feather
Pioneer Accessory,3x Turkey Feather,3x Duck Feather,3x Chicken Feather
Rococo Accessory,2x Crow Feather,2x Cardinal Feather,
Glorious Accessory,1x Oriole Feather,2x Woodpecker Feather,
Pursuer Accessory,2x Eagle Feather,2x Pigeon Feather,
Majestic Accessory,4x Rooster Feather,2x Woodpecker Feather,2x Singbird Feather
Homestead Accessory,1x Chicken Feather,2x Goose Feather,
Judicious Accessory,1x Pheasant Feather,1x Owl Feather,
,,,
Vests,,,
Rugged Wrangler Vest,1x Perfect Pig Hide,,
Hinterland Vest,1x Perfect Ram Hide,,
Rustic Vest,1x Perfect Cougar Pelt,,
,,,
Chaps,,,
Bear Batwing Chaps,1x Perfect Bear Pelt,,
Ox Fringed Shotgun Chaps,1x Perfect Ox Hide,,
Elk Fringed Shotgun Chaps,1x Perfect Elk Pelt,,
Moose Batwing Chaps,1x Perfect Moose Pelt,,
Batwing Chaps,1x Perfect Deer Pelt,,
Bear Fringed Shotgun Chaps,1x Perfect Black Bear Pelt,,
Sheep Batwing Chaps,2x Perfect Sheep Hide,,
Muskrat Half Chaps,2x Perfect Muskrat Pelt,,
Deer Pelt Half Chaps,1x Perfect Deer Pelt,,
,,,
Boots,,,
Javelina Moccasins,2x Perfect Collared Peccary Pig Pelt,,
Skunk Trapper Boots,1x Perfect Skunk Pelt,,
Moccasins,1x Perfect Buck Pelt,,
