Trapper Garment Sets,,,
,,,
The Bear Hunter,,,
Legendary Bear Head Hat,1x Legendary Bear Pelt,,
Legendary Bear Coat,1x Legendary Bear Pelt,1x Perfect Bison Pelt,
Legendary Bear Roper,1x Legendary Bear Pelt,1x Perfect Bull Hide,
Boar Riding Gloves,1x Perfect Boar Pelt,2x Perfect Rabbit Pelt,
,,,
The Trophy Buck,,,
Raccoon Mountain Hat,1x Perfect Raccoon Pelt,1x Perfect Beaver Pelt,2x Hawk Feather
Legendary Buck Vest,1x Legendary Buck Pelt ,1x Perfect Ram Hide,
Legendary Fox Moccasins,1x Perfect Elk Pelt,1x Legendary Fox Pelt,
Legendary Buck & Fox Range Gloves,1x Legendary Buck Pelt,1x Legendary Fox Pelt,
,,,
The Dreamcatcher,,,
Legendary Beaver Flop Hat,1x Legendary Beaver Pelt,1x Legendary Boar Pelt,1x Cardinal Feather
Legendary Bison Vest,1x Legendary Tatanka Bison Pelt,,
Legendary Bison Batwing Chaps,1x Legendary Tatanka Bison Pelt,,
Legendary Boar & Bison Fowlers,1x Legendary Boar Pelt,1x Legendary Tatanka Bison Pelt,
Legendary Boar & Bison Fowlers,1x Legendary Beaver Pelt,,
,,,
The Beast of Prey,,,
Legendary Cougar Flop Hat,1x Legendary Cougar Pelt,2x Turkey Feather,
Legendary Cougar & Wolf Vest,1x Legendary Cougar Pelt,1x Legendary Wolf Pelt,
Legendary Wolf Batwing Chaps,1x Legendary Wolf Pelt,1x Perfect Goat Hide,
Bull Fowler Boots,1x Perfect Boar Pelt,1x Perfect Bull Hide,
Legendary Cougar Riding Gloves,1x Legendary Cougar Pelt,1x Perfect Boar Pelt,
,,,
The Huntsman,,,
Legendary Coyote Mountain Hat,1x Legendary Coyote Pelt,2x Eagle Feather,
Legendary Pronghorn Coat,1x Legendary Pronghorn Hide,1x Perfect Moose Pelt,
Legendary Coyote Half Chaps,1x Legendary Coyote Pelt,1x Perfect Fox Pelt,
Workman's Pride Boots,1x Perfect Cow Hide,1x Perfect Goat Hide,
Legendary Pronghorn Range Gloves,1x Legendary Pronghorn Hide,1x Perfect Muskrat Pelt,
,,,
The Death Roll,,,
Legendary Alligator Gambler's Hat,1x Legendary Alligator Skin,2x Perfect Snake Skin,
Legendary Panther Cloak,1x Legendary Panther Pelt,,
Legendary Alligator Vest,1x Legendary Alligator Skin,,
Legendary Alligator Fowlers,1x Legendary Alligator Skin,,
Legendary Panther Range Gloves,1x Legendary Panther Pelt,1x Perfect Gila Monster Skin,
,,,
The Stalker,,,
Legendary Ram Hat,1x Legendary Ram Hide ,,
Legendary Moose Hunting Jacket,1x Legendary Moose Pelt,1x Perfect Wolf Pelt,
Legendary Ram Batwing Chaps,1x Legendary Ram Hide ,,
Legendary Moose Moccasins,1x Legendary Moose Pelt,1x Perfect Cow Hide,
Legendary Ram Rifleman Gloves,1x Legendary Ram Hide ,1x Perfect Boar Pelt,
,,,
The Ghost Bison,,,
Legendary White Bison Hat,1x Legendary White Bison Pelt,,
Legendary White Bison Coat,1x Legendary White Bison Pelt,,
Legendary Elk Half Chaps,1x Legendary Elk Pelt,1x Perfect Sheep Hide,
Legendary Elk Moccasins,1x Legendary Elk Pelt,1x Perfect Goat Hide,
