Trinkets,,,,
,,,,
Beaver Tooth Trinket,1 x Legendary Beaver Tooth,,Moose Antler Trinket,1 x Legendary Moose Antler
Slows Degradation for all weapons by 10%,,,Increases Heath XP by 10%,
,,,,
Buck Antler Trinket,1 x Legendary Buck Antler,,Panther's Eye Trinket,1 x Legendary Panther Eye
Higher Quality Skinned Animal Parts,,,Decreases Dead Eye drain by 10% for 3 seconds,
,,,,
Cougar Fang Trinket,1 x Legendary Cougar Fang,,Pronghorn Horn Trinket,1 x Legendary Proghorn Horn
Increases Stamina XP bounus by 10%,,,Stops animals on Horse from spoiling,
,,,,
Coyote Fang Trinket,1 x Legendary Coyote Fang,,Ram Horn Trinket,1 x Legendary Ram Horn
Increases Dead Eye XP bonus by 10%,,,"Creeping Thyme, Oregano, Wild Mint - Yield x2",
,,,,
Elk Antler Trinket,1 x Legendary Elk Antler,,Wolf Heart Trinket,1 x Legendary Wolf Heart
Increases value of looted money by 10%,,,Consume 2x more alcohol before getting drunk,
,,,,
Fox Claw Trinket,1 x Legendary Fox Claw,,Tatanka Bison Horn Trinket,1 x Legendary Tatanka Bison Horn
Increases Eagle Eye time by 5 seconds,,,Decrease received melee damage by 10%,
,,,,
Lion's Paw Trinket,1 x Lions Paw,,,
Increases Stamina XP bonus by 10%,,,,
