N,ANIMAL,OBSERVAÇÃO,
1,Urso-cinzento Lendário Bharati,"A caçada do Urso-cinzento Lendário Bharati faz parte da história principal, e é habilitada no Capítulo 2.",ok
2,Lobo Lendário,"Em Cotorra Springs, a oeste de Bacchus Station.",ok
3,Javali Lendário,"Em Bluewater Marsh, ao norte de Legras.",ok
4,Alce Lendário,"Na região de Roanoke Valley no extremo nordeste do mapa, a leste de Doverhill.",ok
5,Carneiro-selvagem Lendário,"Próximo de Catlaid Pond, a oeste da cidade de Valentine.",ok
6,Bisão Branco Lendário,"Na margem nordeste de Lake Isabella, próximo do “A” de Ambarino, na região noroeste do mapa.",ok
7,Castor Lendário,"Em uma represa de castores a oeste de Van Horn Trading Post, na margem leste do rio.",ok
8,Cervo Lendário,"Na região oeste de West Elizabeth e ao sul da Black Bone Forest, a noroeste da cidade de Strawberry.",ok
9,Coiote Lendário,"Na região norte de Scarlett Meadows, próximo ao “L” de Lemoine no mapa.",ok
10,Uapiti Lendário,A leste de Fort Wallace e ao sul da Bacchus Station.,ok
11,Raposa Lendária,"em Mattock Pond, entre Southfield Flats e o Kamassa River, ao norte da cidade de Rhodes.",ok
12,Jacaré Gigante Lendário,"O Jacaré Gigante Lendário só pode ser caçado após concluir a missão “Um Passeio pelo Pântano”, no Captítulo 4.",
13,Bisão Lendário Tatanka,"na região de Hennigan’s Stead, ao sul da cidade de Blackwater e a leste McFarlane’s Ranch. O Bisão Lendário Tatanka só pode ser caçado após concluir o jogo.",
14,Antilocapra Lendária,"a sudoeste de Blackwater, próximo da marcação de Rio Del Lobo Rock no mapa. A Antilocapra Lendária só pode ser caçada após concluir o jogo.",
15,Suçuarana Lendária,"No extremo oeste do mapa, a oeste da cidade de Tumbleweed, e próximo do primeiro “T” de Gaptooth Ridge.
A Suçuarana Lendária só pode ser caçada após concluir o jogo.",
16,Pantera Lendária Giaguaro,"a sudoeste de Boulber Blade e a leste de Braitwaite Manor, próximo da costa. A Pantera Lendária Giaguaro só pode ser encontrada após concluir o jogo. Ela é liberada ao completar os 9 primeiros desafios do Mestre Caçador, e depois de concluir a caçada, você conquistará o desafio final.",
