Location,Type,Recipe,Item 1,Item 2,Item 3,Item 4,Item 5,Cost,Effect,Done,Copy,Copy,Copy,Copy
Camp,Satchel,Tonics Satchel,Deer Pelt,Buck Pelt,Elk Pelt,,,,,,,,,
Camp,Satchel,Ingredients Satchel,Deer Pelt,Badger Pelt,Squirrel Pelt,,,,,,,,,
Camp,Satchel,Kit Satchel,Deer Pelt,Elk Pelt,Panther Pelt,,,,,,,,,
Camp,Satchel,Provisons Satchel,Deer Pelt,Bison Pelt,Raccoon Pelt,,,,,,,,,
Camp,Satchel,Materials Satchel,Deer Pelt,Boar Pelt,Iguana Skin,,,,,,,,,
Camp,Satchel,Valuables Satchel,Deer Pelt,Beaver Pelt,Rabbit Pelt,,,,,,,,,
Camp,Satchel,Legend of the East Satchel,,,,,,Craft all other Satchels,,,,,,
Camp,Arthur's Lodging,Alligator Skull,Alligator Skin,,,,,,,,,,,
Camp,Arthur's Lodging,Big Horn Ram Skull,Ram Carcass,,,,,,,,,,,
Camp,Arthur's Lodging,Cougar Pelt Chest,Cougar Pelt,Cougar Pelt,,,,,,,,,,
Camp,Arthur's Lodging,Boar Skin Table,Boar Pelt,,,,,,,,,,,
Camp,Arthur's Lodging,Ox Hide Rug,Ox Hide,Ox Hide,,,,,,,,,,
Camp,John's Lodging,Boar Skin Rug,Boar Pelt,Boar Pelt,Boar Pelt,Boar Pelt,,,,,,,,
Camp,Camp Tables,Pronghorn Leather Tables,Pronghorn Hide,Pronghorn Hide,,,,,,,,,,
Camp,Chuckwagon,Pronghorn Skull,Pronghorn Carcass,,,,,,,,,,,
Camp,Main Campfire,Moose Antlers,Moose Antler,,,,,,,,,,,
Camp,Main Campfire,Wolf Skull,Wolf Carcass,,,,,,,,,,,
Camp,Main Campfire,Snake Skin Banjo Head,Snake Skin,Snake Skin,,,,,,,,,,
Camp,Main Campfire,Campfire Seat Cover,Beaver Pelt,Muskrat Pelt,Fox Pelt,,,,,,,,,
Camp,Main Campfire,Campfire Log Seat Cover,Wolf Pelt,Wolf Pelt,,,,,,,,,,
Camp,Main Campfire,Lean-to Cow Hide Mat,Cow Hide,,,,,,,,,,,
Camp,Scout Campfire,Scout Fire mat,Goat Hide,Goat Hide,,,,,,,,,,
Camp,Scout Campfire,Elk Antlers,Elk Antler,,,,,,,,,,,
Camp,Scout Campfire,Hanging Bones,Buck Antlers,,,,,,,,,,,
Fence,Trinkets,Beaver Tooth Trinket,L Beaver Tooth,,,,,?,Slows degradation for all weapons by 10%,,,,,
Fence,Trinkets,Buck Antler Trinket,L Buck Antler,,,,,$22.00,Receive higher quality skinned animal parts,,,,,
Fence,Trinkets,Cougar Fang Trinket,L Cougar Fang,,,,,$20.50,Increases stamina exp bonus by 10%,,,,,
Fence,Trinkets,Coyote Fang Trinket,L Coyote Fang,,,,,$21.25,Increases Dead Eye exp bonus by 10%,,,,,
Fence,Trinkets,Elk Antler Trinket,L Elk Antler,,,,,$22.75,Increases looted money by 10%,,,,,
Fence,Trinkets,Fox Claw Trinket,L Fox Claw,,,,,$23.50,Increases Eagle Eye duration by 5 seconds,,,,,
