Type,Item,Total,Camp needs,Camp has,Fence needs,Carrying,Trapper needs,Trapper has
Other,Abalone Shell Fragment,1,0,,1,,0,
Hide,Alligator Skin,1,1,,0,,0,
Hide,Armadillo Skin,1,0,,0,,1,
Hide,Badger Pelt,2,1,,0,,1,
Hide,Beaver Pelt,9,2,,0,,7,
Hide,Bison Pelt,3,1,,0,,2,
Hide,Black Bear Pelt,1,0,,0,,1,
Hide,Boar Pelt,14,6,,0,,8,
Material,Buck Antlers,1,1,,0,,0,
Hide,Buck Pelt,4,1,,0,,3,
Hide,Bull Hide,3,0,,0,,3,
Feather,Cardinal Feather,1,0,,0,,1,
Other,Cobalt Petrified Wood,1,0,,1,,0,
Hide,Collared Peccary Pig Pelt,2,0,,0,,2,
Hide,Cougar Pelt,4,2,,0,,2,
Hide,Cow Hide,5,1,,0,,4,
Hide,Coyote Pelt,3,0,,0,,3,
Hide,Deer Pelt,8,6,,0,,2,
Feather,Eagle Feather,2,0,,0,,2,
Material,Elk Antler,1,1,,0,,0,
Hide,Elk Pelt,5,2,,0,,3,
Hide,Fox Pelt,3,1,,0,,2,
Hide,Gila Monster Skin,1,0,,0,,1,
Hide,Goat Hide,8,2,,0,,6,
Valuable,Gold Earring,1,0,,1,,0,
Valuable,Gold Jointed Bracelet,1,0,,1,,0,
Feather,Hawk Feather,2,0,,0,,2,
Hide,Iguana Skin,2,1,,0,,1,
Other,Lion's Paw,1,0,,1,,0,
Material,Moose Antler,1,1,,0,,0,
Hide,Moose Pelt,3,0,,0,,3,
Hide,Muskrat Pelt,6,1,,0,,5,
Valuable,Old Brass Compass,1,0,,1,,0,
Hide,Ox Hide,4,2,,0,,2,
Hide,Panther Hide,1,0,,0,,1,
Hide,Panther Pelt,2,1,,0,,1,
Hide,Pig Hide,1,0,,0,,1,
Material,Pronghorn Carcass,1,1,,0,,0,
Hide,Pronghorn Hide,5,2,,0,,3,
Other,Quartz Chunk,1,0,,1,,0,
Hide,Rabbit Pelt,8,1,,0,,7,
Hide,Raccoon Pelt,2,1,,0,,1,
Material,Ram Carcass,1,1,,0,,0,
Hide,Ram Hide,5,0,,0,,5,
Hide,Sheep Hide,5,0,,0,,5,
Valuable,Silver Chain Bracelet,1,0,,1,,0,
Valuable,Silver Earring,1,0,,1,,0,
Hide,Snake Skin,6,2,,0,,4,
Hide,Squirrel Pelt,1,1,,0,,0,
Feather,Turkey Feather,2,0,,0,,2,
Valuable,Vintage Civil War Handcuffs,1,0,,1,,0,
Material,Wolf Carcass,1,1,,0,,0,
Hide,Wolf Pelt,5,2,,0,,3,
Legendary,L Alligator Skin,3,0,,0,,3,
Legendary,L Alligator Tooth,1,0,,1,,0,
Legendary,L Bear Claw,1,0,,1,,0,
Legendary,L Bear Pelt,3,0,,0,,3,
Legendary,L Beaver Cavalry Gloves,1,0,,0,,1,
Legendary,L Beaver Pelt,1,0,,0,,1,
Legendary,L Beaver Tooth,1,0,,1,,0,
Legendary,L Bison Horn,1,0,,1,,0,
Legendary,L Boar Pelt,2,0,,0,,2,
Legendary,L Boar Tusk,1,0,,1,,0,
Legendary,L Buck Antler,1,0,,1,,0,
Legendary,L Buck Pelt,2,0,,0,,2,
Legendary,L Cougar Fang,1,0,,1,,0,
Legendary,L Cougar Pelt,3,0,,0,,3,
Legendary,L Coyote Fang,1,0,,1,,0,
Legendary,L Coyote Pelt,2,0,,0,,2,
Legendary,L Elk Antler,1,0,,1,,0,
Legendary,L Elk Pelt,3,0,,0,,3,
Legendary,L Fox Claw,1,0,,1,,0,
Legendary,L Fox Pelt,2,0,,0,,2,
Legendary,L Moose Antler,1,0,,1,,0,
Legendary,L Moose Pelt,2,0,,0,,2,
Legendary,L Panther Eye,1,0,,1,,0,
Legendary,L Panther Pelt,2,0,,0,,2,
Legendary,L Pronghorn Hide,2,0,,0,,2,
Legendary,L Pronghorn Horn,1,0,,1,,0,
Legendary,L Ram Hide,3,0,,0,,3,
Legendary,L Ram Horn,1,0,,1,,0,
Legendary,L Tatanka Bison Horn,1,0,,1,,0,
Legendary,L Tatanka Bison Pelt,3,0,,0,,3,
Legendary,L White Bison Pelt,2,0,,0,,2,
Legendary,L Wolf Heart,1,0,,1,,0,
Legendary,L Wolf Pelt,2,0,,0,,2,
