Animal,Size,Weapon Choice For Perfect Pelt,,,by u/Adelbertt,Link to published version
Alligator,Massive,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo","Shotgun with: 
- Slug Ammo"
Alligator (Small),Large,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo",
Armadillo,Moderate,Varmint Rifle,,,,
Badger,Moderate,Varmint Rifle,,,,
Bat,Small,Bow with Small Game Arrow,,,,
Bear,Massive,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo","Shotgun with: 
- Slug Ammo"
Beaver,Medium,"Repeater with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo","Throwing Knife
Poison Throwing Knife","Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo",
Big Horn Ram,Large,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo",
Bison,Massive,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo","Shotgun with: 
- Slug Ammo"
Blue Jay,Small,Bow with Small Game Arrow,,,,
Boar,Large,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo",
Booby,Small,Bow with Small Game Arrow,,,,
Buck,Large,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo",
Bull,Massive,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo","Shotgun with: 
- Slug Ammo"
Bullfrog,Small,Bow with Small Game Arrow,,,,
Cardinal,Small,Bow with Small Game Arrow,,,,
Carolina Chicken,Small,Bow with Small Game Arrow,,,,
Chipmunk,Small,Bow with Small Game Arrow,,,,
Condor,Moderate,Varmint Rifle,,,,
Cormorant,Moderate,Varmint Rifle,,,,
Cougar,Large,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo",
Cow,Massive,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo","Shotgun with: 
- Slug Ammo"
Coyote,Medium,"Repeater with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo","Throwing Knife
Poison Throwing Knife","Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo",
Crane,Moderate,Varmint Rifle,,,,
Crow,Small,Bow with Small Game Arrow,,,,
Deer,Large,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo",
Duck,Small,Bow with Small Game Arrow,,,,
Eagle,Moderate,Varmint Rifle,,,,
Egret,Moderate,Varmint Rifle,,,,
Elk,Massive,"Rifle with:
- Regular Ammo
- Split Point Ammo
- High-Velocity Ammo
- Express Ammo",Poison Throwing Knife,"Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo","Shotgun with: 
- Slug Ammo"
Fox,Medium,"Repeater with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo","Throwing Knife
Poison Throwing Knife","Bow : 
- Arrow 
- Poison Arrow","Sniper Rifle with: 
- Regular Ammo 
- Split Point Ammo 
- High-Velocity Ammo 
- Express Ammo",
Gila Monster,Moderate,Varmint Rifle,,,,
