Apostador
Nível	Descrição	Recompensas
Nível 1	Vença 5 mãos de pôquer.	Coldre de Apostador
Nível 2	No blackjack, dobre a aposta e vença a mão 5 vezes.	25 XP de Olhos da Morte e $5.00
Nível 3	Vença 3 jogos da faca.	Cartucheira de Apostador
Nível 4	Vença um jogador no pôquer em todos os locais (Estação Flatneck, Saint Denis e Valentine).	50 XP de Olhos da Morte e $10.00
Nível 5	Vença 3 rodadas de dominó sem comprar pedras contra 2 oponentes ou menos.	50 XP de Olhos da Morte e $10.00
Nível 6	Vença o crupiê de blackjack em todos os locais (Rhodes e Van Horn).	100 XP de Olhos da Morte e $15.00
Nível 7	Vença o jogador do jogo da faca em todos os locais (Strawberry, Valentine e Van Horn).	Cinto de Apostador com Coldre
Nível 8	Vença 3 mãos de blackjack com 3 acertos ou mais.	100 XP de Olhos da Morte e $15.00
Nível 9	Vença 3 jogos de dominó em sequência.	150 XP de Olhos da Morte e $20.00
Nível 10	Vença 3 mãos de pôquer em sequência.	Coldre Secundário de Apostador
