Atirador de Elite
Nível	Descrição	Recompensas
Nível 1	Mate 3 pássaros em voo.	Cartucheira de Atirador de Elite
Nível 2	Mate 2 espécies diferentes de animais durante o mesmo uso dos Olhos da Morte.	25 XP de Olhos da Morte e $5
Nível 3	Mate 5 pássaros em voo de um trem em movimento.	Coldre de Atirador de Elite
Nível 4	Mate um inimigo a pelo menos 80 pés (25 metros) de distância arremessando um tomahawk.	50 XP de Olhos da Morte e $10
Nível 5	Mate 6 animais sem trocar ou recarregar sua arma.	50 XP de Olhos da Morte e $10
Nível 6	Mate uma pessoa a pelo menos 660 pés (202 metros) de distância usando um rifle de precisão.	100 XP de Olhos da Morte e $15
Nível 7	Acerte 7 tiros na cabeça em sequência.	Coldre de Atirador de Elite
Nível 8	Desarme 3 inimigos sem recarregar ou trocar sua arma.	100 XP de Olhos da Morte e $15
Nível 9	Acerte os chapéus de 3 pessoas durante o mesmo uso dos Olhos da Morte.	150 XP de Olhos da Morte e $20
Nível 10	Abata 3 pássaros em voo em sequência com 3 tiros de rifle de precisão.	Cinto de Atirador de Elite com Coldre
