Bandido
Nível	Descrição	Recompensas
Nível 1	Assalte 5 habitantes.	Cartucheira de Bandido
Nível 2	Roube 2 carruagens ou revenda 2 carruagens roubadas na loja clandestina.	25 XP de Olhos da Morte e $5.00
Nível 3	Roube a caixa registradora de quaisquer 4 lojas em um dia.	Coldre de Bandido
Nível 4	Roube três carruagens ou revenda 3 carruagens roubadas na loja clandestina em um dia.	50 XP de Olhos da Morte e $10.00
Nível 5	Alcance uma recompensa de $250 por sua cabeça em um estado.	50 XP de Olhos da Morte e $10.00
Nível 6	Roube 5 cavalos e os venda para o revendedor de cavalos na Enseada Clemens.	100 XP de Olhos da Morte e $15.00
Nível 7	Roube $50 em dinheiro e itens de valor dos habitantes e viajantes.	Coldre Secundário de Bandido
Nível 8	Roube 7 carroças e as venda ao revendedor no Rancho Emerald.	100 XP de Olhos da Morte e $15.00
Nível 9	Amarre uma pessoa e a deixe nos trilhos de trem 3 vezes.	150 XP de Olhos da Morte e $20.00
Nível 10	Conclua 5 roubos de trem sem morrer ou ser capturado.	Cinto de Bandido com Coldre
