Mestre Caçador
Nível	Descrição	Recompensas
Nível 1	Esfole 3 veados.	Coldre Secundário de Mestre Caçador
Nível 2	Obtenha 3 peles de coelho de qualidade perfeita.	25 XP de Vida e $5
Nível 3	Rastreie 10 espécies de animais usando o binóculo.	Cartucheira de Mestre Caçador
Nível 4	Chame um animal e consiga um abate limpo 5 vezes.	50 XP de Vida e $10
Nível 5	Esfole 3 ursos-negros ou ursos-cinzentos.	50 XP de Vida e $10
Nível 6	Mate 5 suçuaranas com seu arco e as esfole.	100 XP de Vida e $15
Nível 7	Use uma isca para atrair e matar um predador e um herbívoro consecutivamente.	Cinto de Mestre Caçador
Nível 8	Apanhe 3 peixes pequenos sem usar uma vara de pescar.	100 XP de Vida e $15
Nível 9	Mate um gambá-saruê se fingindo de morto.	150 XP de Vida e $20
Nível 10	Encontre e mate "Giaguaro", a pantera lendária.	Coldre de Mestre Caçador
