Equitação
Nível	Descrição	Recompensas
Nível 1	Mate 5 coelhos montado a cavalo.	Cinto de Equitação com Coldre
Nível 2	Salte sobre 3 obstáculos diferentes em 15 segundos.	25 XP de Fôlego e $5.00
Nível 3	Cavalgue de Valentine a Rhodes em menos de 5 minutos.	Coldre de Equitação
Nível 4	Lace e arraste uma vítima por 3.300 pés (1006 m) montado a cavalo.	50 XP de Fôlego e $10.00
Nível 5	Atropele 5 animais montado a cavalo.	50 XP de Fôlego e $10.00
Nível 6	Cavalgue de Strawberry a Saint Denis em menos de 9 minutos sem tocar a água.	100 XP de Fôlego e $15.00
Nível 7	Mate 7 inimigos montado a cavalo sem desmontar.	Cartucheira de Equitação
Nível 8	Mate 9 predadores montado a cavalo.	100 XP de Fôlego e $15.00
Nível 9	Cavalgue de Van Horn a Blackwater em menos de 17 minutos sem tocar a água.	150 XP de Fôlego e $20.00
Nível 10	Dome todas as raças de cavalo selvagem.	Coldre Secundário de Equitação
