Explorador
Nível	Descrição	Recompensas
Nível 1	Encontre um mapa do tesouro.	Coldre de Explorador
Nível 2	Encontre um tesouro.	25 XP de Fôlego e $5.00
Nível 3	Encontre um tesouro.	Cartucheira de Explorador
Nível 4	Encontre um tesouro.	50 XP de Fôlego e $10.00
Nível 5	Encontre um tesouro.	50 XP de Fôlego e $10.00
Nível 6	Encontre um tesouro.	100 XP de Fôlego e $15.00
Nível 7	Encontre um tesouro.	Cinto de Explorador
Nível 8	Encontre um tesouro.	100 XP de Fôlego e $15.00
Nível 9	Encontre um tesouro.	150 XP de Fôlego e $20.00
Nível 10	Encontre um tesouro.	Coldre Secundário de Explorador
