Herborista
Nível	Descrição	Recompensas
Nível 1	Colha 6 mil-folhas.	Coldre Secundário de Herborista
Nível 2	Colha e coma 4 espécies de frutas silvestres.	25 XP de Vida e $5.00
Nível 3	Crie 7 itens usando sálvia como ingrediente.	Cinto de Herborista com Coldre
Nível 4	Colha 5 cogumelos e dê para o seu cavalo.	50 XP de Vida e $10.00
Nível 5	Crie 9 itens usando tabaco indiano como ingrediente.	50 XP de Vida e $10.00
Nível 6	Colha 15 espécies de ervas.	100 XP de Vida e $15.00
Nível 7	Crie e use 5 tônicos miraculosos especiais.	Coldre de Herborista
Nível 8	Use oleandro para criar 6 armas envenenadas.	100 XP de Vida e $15.00
Nível 9	Colha uma erva de cada espécie.	150 XP de Vida e $20.00
Nível 10	Tempere e cozinhe todos os 11 tipos de carne.	Cartucheira de Herborista
