Perito em Armas
Nível	Descrição	Recompensas
Nível 1	Mate 3 inimigos com uma faca.	Coldre de Perito em Armas
Nível 2	Mate 3 inimigos em 10 segundos usando apenas facas de arremesso.	25 XP de Vida e $5
Nível 3	Mate 3 aves de rapina usando um tomahawk.	Cinto de Perito em Armas com Coldre
Nível 4	Mate 10 inimigos com uma escopeta com munição criada.	50 XP de Vida e $10
Nível 5	Mate 5 inimigos montados usando uma única faca de arremesso por morte.	50 XP de Vida e $10
Nível 6	Mate 4 inimigos ao mesmo tempo com uma única banana de dinamite.	100 XP de Vida e $15
Nível 7	Mate 4 inimigos consecutivos arremessando e recuperando o mesmo tomahawk.	Coldre Secundário de Perito em Armas
Nível 8	Mate 15 inimigos usando uma arma curta com cano longo.	100 XP de Vida e $15
Nível 9	Mate, por trás, 9 inimigos distraídos usando o arco.	150 XP de Vida e $20
Nível 10	Mate um urso-cinzento usando apenas facas de arremesso e sem sofrer dano.	Cartucheira de Perito em Armas
