Sobrevivente
Nível	Descrição	Recompensas
Nível 1	Apanhe 3 perca-sol de guelras azuis.	Cinto de Sobrevivente com Coldre
Nível 2	Doe 5 animais ao Acampamento ou Armadilheiro.	25 XP de Fôlego e $5
Nível 3	Mate 5 animais com o rifle antipragas.	Coldre Secundário de Sobrevivente
Nível 4	Crie uma flecha explosiva, incendiária, melhorada, envenenada e para caça pequena.	50 XP de Fôlego e $10
Nível 5	Apanhe um peixe de barco no Bayou e um a partir dos trilhos de trem.	50 XP de Fôlego e $10
Nível 6	Mate um animal se alimentando de um cadáver 5 vezes.	100 XP de Fôlego e $15
Nível 7	Mate 8 animais pequenos com disparos consecutivos de flechas para caça pequena.	Cartucheira de Sobrevivente
Nível 8	Crie um tomahawk de precisão, tomahawk melhorado, dinamite volátil e garrafa incendiária volátil.	100 XP de Fôlego e $15
Nível 9	Apanhe um peixe de pelo menos 19 lb (8,7 kg).	150 XP de Fôlego e $20
Nível 10	Pegue um de cada tipo de peixe pelo mundo.	Coldre de Sobrevivente
